Timestamp,Email Address,Your Name,Your Age,Course Name,Gender,How often do you play video games?,On which platform do you play games the most?,What type of gaming software do you primarily use?,How many hours per week do you spend gaming?,What type of games do you prefer?,What factors influence your choice of gaming software?,Which game stores or platforms do you primarily use?,"Do you prefer paid games, free-to-play games, or games with in-app purchases?",How often do you spend money on gaming software?,"Have you used cloud gaming services like Xbox Cloud Gaming, GeForce Now, or PlayStation Now?",What is your preferred device for gaming?,"How important is hardware performance (CPU, GPU, RAM) for your gaming experience?","Do you prefer high-performance gaming software that requires powerful hardware, or lightweight games that run on most devices?",What input method do you prefer for gaming?,How do you usually install games?,Do you participate in online multiplayer gaming?,Have you ever participated in an esports event or gaming tournament?,How important is cross-platform gaming (PC vs. Console vs. Mobile) to you?,Do you use voice chat or communication apps while gaming?,Have you ever faced toxicity or harassment while playing online games?,What gaming trends are you most excited about?,Would you be interested in subscription-based gaming services like Xbox Game Pass or PlayStation Plus?,What improvements do you think gaming software should focus on?
2022-03-21 23:22:05,jagdishkumar@gmail.com,Jagdish Kumar,25,Engineering,Male,Monthly,Mobile,Steam,10,Strategy,Price,Epic Games,In-app purchases,Occasionally,False,Mobile,4,High-performance,Touchscreen,Cloud-based,True,False,2,False,True,New game releases,True,"Add more games, better graphics, and multiplayer options"
2021-01-07 02:11:43,kunalr@gmail.com,KUNAL RAWAT,30,Game Development,Male,Weekly,PC,Steam,10,Strategy,Exclusive content,Steam,Paid,Occasionally,False,PC,2,Lightweight,Touchscreen,Cloud-based,True,False,2,False,False,I am exited about the upcoming games like God of War Ragnarok and The Last of Us Part II.,False,None
2022-02-01 10:22:25,chandrakantkatre1996@gmail.com,Chandrakant Katre,25,B.E,Male,Weekly,Mobile,PlayStation Store,22,RPG,Price,Steam,Free-to-play,Occasionally,False,Mobile,3,Lightweight,Touchscreen,Download,False,False,2,True,False,"Rising popularity of mobile games, growth of cloud gaming, increasing availability of game demos and free trials, popularity of multiplayer and battle royale games, and growing adoption of virtual reality and augmented reality in gaming.",False,- Improved graphics and visuals
2022-04-16 19:41:12,tusharbalaji@gmail.com,Tushar Balaji,25,Degree (Bachelor's),Male,Occasionally,Console,PlayStation Store,10,Strategy,Exclusive content,PlayStation Store,Free-to-play,Occasionally,False,PC,3,High-performance,Keyboard,Cloud-based,True,False,2,True,False,"New game releases, esports tournaments",False,"I would suggest that gaming software should be more user-friendly and accessible to people of all ages and skill levels. It should also offer a wide variety of games to choose from, and be compatible with different platforms and devices. Additionally, I would like to see more focus on security and privacy, and better support for multi"
2018-10-10 21:58:36,shubhams@gmail.com,Shubham Singh,34,B.Sc Computer Science,Male,Weekly,PC,Steam,11,Strategy,Price,Steam,Paid,Occasionally,False,PC,2,High-performance,Controller,Download,True,False,1,False,True,None,True,None
2022-05-19 13:06:05,amit2635@gmail.com,Amit,25,B.Tech. in Electronics and Communication,Male,Monthly,Mobile,Steam,2,Sports,Exclusive content,Epic Games,Free-to-play,Occasionally,False,Mobile,1,High-performance,Touchscreen,Download,False,False,4,False,False,None,True,None
2022-11-23 10:55:21,gopal.patil27@gmail.com,Gopal Patil,31,Bachelor of Engineering,Male,Weekly,Mobile,PlayStation Store,4,Action,User interface,Steam,Free-to-play,Monthly,True,PC,2,High-performance,Keyboard,Disc,True,False,3,False,True,"Great graphics, good gameplay, and immersive storylines.",False,"I would suggest that the gaming software should be more user-friendly with a simple interface and easy navigation. Also, the software should be optimized for different platforms and devices to provide a seamless gaming experience."
2022-08-09 12:52:23,nul6786@gmail.com,prithvi kumar,25,B.TECH,Male,Weekly,PC,Steam,12,Action,Price,Steam,Free-to-play,Monthly,False,PC,3,High-performance,Touchscreen,Download,True,False,2,True,True,"[{'id': 7, 'text': 'Mobile gaming is becoming more popular.'}, {'id': 16, 'text': 'More games are being released with cross-platform support.'}, {'id': 18, 'text': 'Innovations in virtual reality and augmented reality gaming",False,- More options for customization
2022-07-06 23:25:10,kanishk200101@gmail.com,Kanishk Aggarwal,20,Bachelor of Business Administration,Male,Weekly,PC,Steam,10,Strategy,Price,Steam,Paid,Occasionally,False,Console,5,High-performance,Touchscreen,Download,True,False,4,False,True,e-sports,False,Gaming software should be more user-friendly and less complex.
2021-09-23 12:41:16,saurabhkr1997@gmail.com,Saurabh,34,B.Tech in Computer Science,Male,Weekly,Console,Steam,10,Action,Price,PlayStation Store,Free-to-play,Weekly,False,Console,2,High-performance,Controller,Disc,False,False,5,False,False,Arcade games,False,"I would suggest improvements in the graphics and gameplay of the software. Additionally, I would like to see more options for customization and a wider variety of game modes."
2021-03-07 17:33:09,sp1001@gmail.com,Sadab,22,B.Tech,Male,Occasionally,Mobile,Steam,20,Action,Price,PlayStation Store,Paid,Weekly,False,Mobile,8,Lightweight,Touchscreen,Download,True,True,4,True,True,Battle royale games,False,"More user-friendly interface, more focus on localized content, better support for Indian languages, integration with social media platforms, improved server infrastructure for better performance, more focus on mobile gaming"
2023-04-06 18:53:09,natesh@gmail.com,natesh,24,Computer Science,Male,Weekly,PC,Steam,5,Strategy,Price,PlayStation Store,Free-to-play,Monthly,False,PC,5,High-performance,Touchscreen,Download,True,False,1,True,False,Cloud gaming and next-gen gaming consoles,True,"Improved performance, better graphics, more game modes, and more features."
2021-04-27 16:59:52,pradip.c@gmail.com,Ranjita,26,B.ED,Male,Weekly,Console,Epic Games Store,10,Sports,User interface,Steam,Paid,Monthly,False,PC,2,Lightweight,Controller,Download,False,False,3,False,True,Trends in gaming that excite the respondent,False,- Better user interface
2021-05-04 15:46:17,gautam.shrivastava@gmail.com,Gautam Shrivastava,20,B.Tech (Computer Science and Engineering),Male,Monthly,PC,Steam,2,Strategy,Price,Steam,Free-to-play,Occasionally,False,PC,4,High-performance,Keyboard,Download,False,False,3,False,False,None,False,1. Better graphics and performance
2022-09-14 19:33:16,abhishekjanak2018@gmail.com,Abhishek Janak,24,Data Science,Male,Monthly,Mobile,PlayStation Store,2,Action,Price,Steam,Free-to-play,Occasionally,False,Mobile,2,High-performance,Controller,Cloud-based,True,False,1,False,False,The trend of cloud gaming and its potential to bring new opportunities for gamers and game developers.,False,- Improved cross-platform compatibility
2022-04-25 11:54:58,dilipadhikari71@gmail.com,Dilip Adhikari,26,B.Sc. in Computer Science from University of Bombay,Male,Monthly,PC,Epic Games Store,10,Action,Price,PlayStation Store,In-app purchases,Occasionally,False,PC,2,Lightweight,Keyboard,Download,True,True,2,False,True,No response.,False,No response.
2022-12-02 13:23:41,aryabhattacharya2002@gmail.com,Arya,25,B.Tech,Male,Weekly,PC,Steam,3,Action,Price,PlayStation Store,Free-to-play,Occasionally,True,PC,2,High-performance,Touchscreen,Download,True,False,1,True,False,"New game releases,",False,Make it more convenient to switch between multiple games without interrupting gameplay.
2021-08-01 10:04:59,nandhini.s@gmail.com,Nandhini S,20,Masters in Commerce,Female,Weekly,Console,PlayStation Store,2,Action,User interface,Steam,Free-to-play,Weekly,False,Mobile,1,Lightweight,Touchscreen,Download,True,False,3,False,False,In-game purchases,False,Adding more languages and having more regional options would be great.
2021-03-25 17:11:17,shilpajain360@gmail.com,Shilpa Jain,24,Bachelor of Technology,Female,Weekly,PC,Steam,15,Strategy,Exclusive content,Steam,In-app purchases,Weekly,False,PC,4,Lightweight,Controller,Download,True,False,3,True,False,Diverse game choices,False,Add more exclusive content to attract gamers.
2021-06-12 10:58:08,manu12345@gmail.com,Sachin,24,PGDM - Digital Enterprise Management,Male,Weekly,PC,Steam,18,Strategy,Price,Epic Games,Paid,Monthly,False,PC,2,High-performance,Keyboard,Download,True,False,2,True,False,"VR, Metaverse",True,"[{'category': 'Software', 'score': 0.0}, {'category': 'Gameplay', 'score': 0.0}, {'category': 'Graphics', 'score': 0.0}, {'category': 'Performance', 'score': 0.0}, {'category': '"
2023-04-29 11:10:23,arsh.d.singh@gmail.com,Arsh Singh,21,Bachelor of Technology,Male,Monthly,PC,Epic Games Store,15,Action,Price,Epic Games,Free-to-play,Monthly,False,Mobile,6,High-performance,Touchscreen,Download,True,False,7,False,True,"[{'label': 'New game releases', 'count': 24}, {'label': 'New game updates', 'count': 18}, {'label': 'New game features', 'count': 14}, {'label': 'New game modes', 'count': 7}, {'label': '",False,"[{'label': 'Offer more free-to-play games', 'count': 43}, {'label': 'Improve game performance', 'count': 24}, {'label': 'Add more game modes', 'count': 22}, {'label': 'Include more customization options"
2021-08-24 10:39:26,wardhann@gmail.com,Shubham,21,B.Tech,Male,Weekly,Mobile,Steam,2,Strategy,Price,Steam,Paid,Monthly,False,Mobile,5,Lightweight,Touchscreen,Download,True,False,6,True,True,I like the trend of games where you can play with your friends from all around the world or even in the same room.,False,I think the developers should make more games that give you free in-game items by watching advertisements.
2022-02-26 19:03:13,james.murphy@gmail.com,James Murphy,32,Bachelor of Laws (Hons),Male,Daily,Console,PlayStation Store,13,Action,Price,Steam,In-app purchases,Occasionally,False,PC,7,High-performance,Keyboard,Download,False,False,4,False,True,None,False,None
2022-05-06 15:23:36,kartik.singh1985@gmail.com,Kartik Singh,25,Bachelor of Technology,Male,Weekly,PC,Steam,40,RPG,Price,Steam,Paid,Weekly,False,PC,3,High-performance,Keyboard,Download,True,False,2,False,False,"Multiplayer games, VR games, competitive gaming, and esports.",False,"More user-friendly interface, more customization options, better performance, more game choices, and better anti-cheat measures."
2022-09-23 12:16:19,prasad.gadge@gmail.com,Prasad Gadge,33,Bachelor,Male,Weekly,Mobile,PlayStation Store,10,RPG,Price,Epic Games,Free-to-play,Monthly,True,Mobile,3,High-performance,Touchscreen,Cloud-based,False,True,1,True,True,E-sports,True,"1) More investment in indie game development: I would like to see more investment in indie game development. India has a large pool of talented game developers, and investing in their games could help boost the gaming industry in India."
2022-06-30 05:32:24,it1999rk@gmail.com,Suman,26,B.Tech,Male,Occasionally,Mobile,Steam,6,Action,Price,Steam,Free-to-play,Occasionally,False,Mobile,3,High-performance,Touchscreen,Download,False,False,4,True,True,"I am excited about the release of the new Call of Duty game, which is set to be released in November 2022.",False,Add more games and make the interface more user friendly
2019-10-07 16:11:29,pallavi.nair@gmail.com,Pallavi Nair,28,PG Diploma,Female,Monthly,Console,PlayStation Store,1,Strategy,Exclusive content,PlayStation Store,In-app purchases,Occasionally,False,Console,3,High-performance,Keyboard,Disc,True,False,2,False,False,None,True,"1. Enhancement of graphics and sound quality - Gaming software can be improved by enhancing their graphics and sound quality, which can provide a more immersive and enjoyable gaming experience."
2021-05-14 15:13:14,abhishek.ravichandran15@gmail.com,Abhishek Ravichandran,36,Bachelor of Engineering,Male,Occasionally,PC,Epic Games Store,1,Strategy,Price,Steam,Free-to-play,Occasionally,False,PC,4,High-performance,Keyboard,Download,True,False,3,True,False,"New gen consoles & graphics, cloud gaming",True,There is no response.
2018-09-29 17:14:48,vijaykumar201400@gmail.com,Vijay Kumar,18,B.Sc. Physics,Male,Weekly,Mobile,Steam,10,RPG,Exclusive content,PlayStation Store,Paid,Occasionally,False,Mobile,1,High-performance,Controller,Download,False,False,2,False,False,New and innovative gameplay mechanics,False,Improvements in graphics and gameplay mechanics would be appreciated.
2021-09-14 13:49:15,punit.sharma01@gmail.com,Punit Sharma,26,M Tech,Male,Daily,Mobile,Steam,2,Action,Price,Steam,Paid,Monthly,False,Mobile,2,Lightweight,Controller,Disc,True,False,3,True,False,I'm excited about the emergence of cloud gaming and the possibility of playing high-performance games without needing expensive hardware.,False,"I think there should be more emphasis on the user interface and design of the gaming software. It should be more intuitive and user-friendly. Additionally, there should be more options for customization, such as the ability to change the appearance and functionality of the software."
2015-07-26 08:22:13,priya@gmail.com,Priya,21,B.Sc,Female,Weekly,Mobile,Steam,2,Action,Price,Steam,Free-to-play,Monthly,False,Mobile,4,High-performance,Touchscreen,Cloud-based,False,False,1,False,False,"Online multiplayer games, PC vs. Console vs. Mobile cross-platform gaming",False,"I would like to see more games that are available for free, with the option to buy additional content or upgrades if desired. I also think that the software should be more user-friendly and easy to navigate, with clear instructions and help sections. Additionally, I would like to see more cross-platform game compatibility,"
2020-03-23 18:32:44,gautam@gmail.com,Gautam,25,Bachelor of Technology,Male,Weekly,PC,Steam,1,Action,Exclusive content,Steam,Paid,Weekly,False,PC,3,Lightweight,Keyboard,Download,True,False,1,True,False,"Online multiplayer gaming, Esports, Cloud gaming",False,Improved graphics and sound quality
2022-06-29 04:19:23,alok.kumar21215@gmail.com,Alok Kumar,27,BE Computer Science Engineering,Male,Weekly,Console,Steam,8,Strategy,Price,Epic Games,Free-to-play,Occasionally,False,Console,3,High-performance,Keyboard,Disc,True,False,2,True,False,"Cloud gaming, higher resolutions, and VR",True,"Adding features like cloud gaming and cross-platform compatibility would definitely be beneficial for gamers like me. Also, implementing anti-cheat measures and better server infrastructure would help in reducing latency and improving the gaming experience."
2019-07-07 14:50:38,sahil011199@gmail.com,bhavesh,18,B.Com.,Male,Weekly,Mobile,PlayStation Store,4,RPG,Price,Steam,Free-to-play,Occasionally,False,Mobile,4,High-performance,Touchscreen,Download,True,False,4,True,False,New AAA games,False,More free games
2023-05-03 13:45:03,jane.doe@gmail.com,Deborah Jones,48,Data Analytics,Male,Occasionally,Console,PlayStation Store,0,Action,Price,Steam,Paid,Occasionally,False,Console,2,Lightweight,Controller,Cloud-based,True,False,1,False,False,"Cloud gaming, 3D animation, virtual reality games",False,1. Improved compatibility with different platforms and devices.
2020-08-30 15:55:44,arpit.gaba@gmail.com,Arpit Gaba,25,MBA,Male,Daily,Mobile,Steam,15,Action,Exclusive content,Steam,Paid,Weekly,True,PC,4,Lightweight,Keyboard,Cloud-based,False,False,3,True,False,Cyberpunk 2077,False,Better game optimization:
2021-04-06 15:52:46,vandana.s@gmail.com,Vandana Sharma,34,MBA in Marketing,Non-binary,Weekly,Console,PlayStation Store,12,Strategy,Price,Steam,Free-to-play,Weekly,True,Console,3,Lightweight,Keyboard,Download,True,False,5,False,False,"'Battle Royale' games like PUBG, Fortnite, and Apex Legends.",False,"I'd like to see more attention paid to accessibility features in gaming software. This could include things like closed captions for audio-heavy games, or more intuitive control options for gamers with physical disabilities. Additionally, I'd like to see more games that are designed with inclusivity in"
2020-10-23 16:09:51,littlelily003@hotmail.com,Kasthuri,36,Diploma In Food And Nutrition,Male,Weekly,PC,Steam,11,Action,Price,Steam,Paid,Monthly,True,PC,2,High-performance,Keyboard,Download,False,False,3,True,False,None,True,None
2022-05-16 21:49:33,laxmikumar2369@gmail.com,Laxmi Kumar,22,B.Tech.,Non-binary,Monthly,Mobile,PlayStation Store,2,Action,Price,Epic Games,In-app purchases,Occasionally,False,Mobile,3,Lightweight,Controller,Download,True,True,3,True,False,I am not very excited about any trends in gaming.,True,I don't have any suggestions for improvements in gaming software
2023-01-14 09:50:31,komal.p.s@gmail.com,Komal Patel,41,B.M.S. 3rd Year,Female,Occasionally,PC,Epic Games Store,5,RPG,Price,Steam,Paid,Monthly,True,PC,3,High-performance,Touchscreen,Download,False,False,2,False,True,11. It’s exciting to see how gaming has evolved over the years and how new technologies and innovations are constantly changing the landscape of the industry. It’s also exciting to see how gaming has become more accessible to people of all ages and backgrounds.,False,More diverse game genres and less emphasis on action-based games. Better accessibility options for gamers with disabilities. Improved anti-cheat systems to reduce the impact of cheating in online games. Better parental controls to help parents manage their children's gaming habits. More personalization options to allow
2022-07-07 08:59:19,c.chinda71@gmail.com,Chindamani,25,Computer Networks,Male,Daily,PC,PlayStation Store,10,RPG,Exclusive content,Steam,Paid,Occasionally,True,Mobile,1,High-performance,Touchscreen,Download,True,False,5,True,True,New technologies like cloud gaming and VR,True,"I think gaming software should be more user-friendly and easy to navigate. The software should also include more features and options to enhance the gaming experience. Additionally, the software should be more secure and have better anti-cheat measures to prevent cheating and hacking."
2023-04-14 12:24:00,bhusan0305@gmail.com,Bhusan,49,MCA,Male,Weekly,PC,Steam,6,Action,Price,Steam,In-app purchases,Monthly,True,PC,2,High-performance,Keyboard,Download,True,False,2,True,True,Online multiplayer gaming and cloud gaming,False,"Improved performance, wider compatibility, better anti-cheat measures, and more content"
2016-04-28 08:45:12,sumaya.mehri@gmail.com,Sumaya Mehri,30,MBA,Female,Weekly,Mobile,PlayStation Store,6,RPG,Exclusive content,Steam,Paid,Occasionally,False,Console,5,High-performance,Controller,Download,True,True,5,False,False,The increasing popularity of VR and AR gaming,False,"Better online safety and security features to prevent harassment and toxicity, More diverse gaming experiences with a wider range of genres and gameplay styles, Improved cross-platform compatibility for a more inclusive gaming experience, Enhanced accessibility options to make gaming more inclusive for individuals with disabilities."
2021-12-27 12:09:40,gaming.survey.participant@gmail.com,Rajat,33,B.Tech,Male,Daily,PC,Steam,20,RPG,Price,Steam,Free-to-play,Monthly,False,PC,2,Lightweight,Controller,Download,True,False,4,False,False,1. Cloud gaming services,False,Increase the number of free games or trials available to users
2022-02-15 12:56:02,hulani@example.com,Suresh,47,Bachelor of Technology,Male,Monthly,Mobile,Steam,14,RPG,Price,Steam,Paid,Monthly,False,Mobile,5,High-performance,Touchscreen,Disc,True,False,3,True,False,"Online multiplayer gaming, esports, cloud gaming",False,"Improvements in graphics, performance, and stability."
2022-04-26 19:07:03,jigar.khamkar@gmail.com,Jigar Khamkar,23,Computer Science,Male,Daily,Mobile,PlayStation Store,10,Strategy,Price,PlayStation Store,Free-to-play,Weekly,False,Mobile,1,Lightweight,Touchscreen,Cloud-based,False,False,1,False,False,"New game releases, new gaming platforms, and innovative gaming experiences.",False,"Adding more features, better compatibility, and improved performance."
2021-02-02 15:29:10,amit39749@gmail.com,Amit,22,B.COM,Male,Weekly,Mobile,PlayStation Store,10,Strategy,Exclusive content,Steam,In-app purchases,Monthly,False,Mobile,1,High-performance,Touchscreen,Disc,True,False,2,False,True,Gaming tournaments,False,None
2021-02-23 23:48:27,abhik.ganguly@gmail.com,Abhik Ganguly,24,B.Tech.,Prefer not to say,Occasionally,PC,Steam,8,Action,Price,Steam,In-app purchases,Monthly,False,Mobile,4,Lightweight,Touchscreen,Disc,False,False,2,True,False,"New games, new updates",False,"I would like to see more parental controls and family sharing features, especially for subscription-based gaming services."
2022-02-13 17:44:15,fahimkhan312@gmail.com,Fahim,19,Bachelor of Engineering,Male,Weekly,Mobile,Steam,40,Action,Price,Steam,Free-to-play,Weekly,False,PC,3,High-performance,Controller,Download,False,False,1,True,False,The advancement of graphics and gameplay.,False,'Gaming software should be regularly updated to incorporate the latest technologies and gameplay mechanics.'
2023-03-25 14:28:14,kukanosekhar@gmail.com,Kuka Nosekhar,28,B.Tech,Male,Weekly,Mobile,PlayStation Store,1,Sports,Exclusive content,Steam,Free-to-play,Monthly,True,Mobile,2,High-performance,Touchscreen,Cloud-based,True,False,3,False,True,Cloud gaming,False,Add more exclusive content
2022-09-26 20:52:16,akshay.jain17@gmail.com,Akshay Jain,24,B.Tech,Male,Daily,Mobile,Steam,21,Sports,Price,Steam,Free-to-play,Weekly,False,Console,2,High-performance,Controller,Download,True,False,1,False,True,Battle Royale,False,"Improvements in gaming software should include better graphics, better performance, and cross-platform gaming."
2021-05-16 16:16:09,mahesh@gmail.com,Karthik,21,B.Tech,Male,Weekly,Mobile,Steam,10,RPG,Price,Steam,Paid,Weekly,True,Console,3,Lightweight,Touchscreen,Disc,False,False,4,False,False,None.,True,None.
2018-05-14 15:09:40,dilip.kohli18@gmail.com,Dilip Kohli,21,B.Tech.,Male,Weekly,PC,Steam,15,Action,Exclusive content,Steam,Free-to-play,Monthly,False,Console,4,High-performance,Keyboard,Download,True,False,5,True,True,[Your Answer],True,"More options for customization and personalization, more features for community interaction and socializing, better anti-cheat and anti-toxicity measures"
2021-03-23 01:14:57,sajjad6770@gmail.com,Sajjad Khan,29,MBA,Male,Occasionally,Mobile,PlayStation Store,22,Action,Price,Steam,Free-to-play,Monthly,False,Mobile,2,High-performance,Touchscreen,Download,False,False,1,False,False,No response.,False,No response.
2022-04-26 12:20:18,lakshmipathy.s@dply.com,Sudarshan Lakshmipathy,23,Bachelors,Male,Weekly,Mobile,PlayStation Store,1,Action,Exclusive content,PlayStation Store,Paid,Monthly,False,Mobile,2,High-performance,Controller,Download,False,False,5,False,False,I would like to see more games that focus on multiplayer and cooperative gameplay.,False,"Having a more diverse and inclusive gaming industry, with more games that represent different cultures and backgrounds."
2022-09-17 11:04:55,srikant.c@example.com,Srikant C,41,B.Tech,Male,Occasionally,Console,PlayStation Store,2,Strategy,Price,PlayStation Store,In-app purchases,Occasionally,True,Console,3,High-performance,Controller,Disc,True,False,4,True,True,"New game releases, updates to existing games, and innovative gameplay mechanics.",False,- Include more Indian-themed games and game worlds.
2021-05-04 08:54:50,rashid@comcast.net,Rashid,26,Bachelor of Engineering (B.E.) in Mechanical Engineering,Male,Monthly,PC,Steam,8,Strategy,Price,Steam,Paid,Occasionally,False,PC,9,High-performance,Touchscreen,Download,False,False,2,False,False,"Mobile, Cloud Gaming, Virtual Reality, Augmented Reality, Competitive Gaming, Esports",True,"""Improvements in gaming software could include faster loading times, better graphics and gameplay, more realistic sounds and special effects, more customization options, better multiplayer capabilities, and improved security and anti-cheat measures."""
2023-05-20 10:54:18,aditya@gmail.com,Aditya,28,Unity Game Developer,Male,Daily,Console,PlayStation Store,10,Strategy,Price,PlayStation Store,Paid,Occasionally,False,Console,2,High-performance,Controller,Disc,True,False,1,False,False,Strategy games,False,Add more strategy games.
2022-08-23 16:36:43,nundy3209@gmail.com,Amit,35,B.Tech in Computer Science Engineering,Male,Weekly,PC,Steam,10,Action,Exclusive content,Steam,Free-to-play,Weekly,False,PC,4,Lightweight,Keyboard,Download,True,False,4,True,False,Improved graphics and immersive gameplay.,False,"Improved graphics, more diverse gameplay, support for cross-platform play, and better accessibility options."
2021-03-09 06:10:09,krishna.tomar@gmail.com,Krishna Tomar,26,B.sc,Male,Weekly,Mobile,Steam,6,Action,Exclusive content,Steam,Free-to-play,Weekly,False,PC,3,High-performance,Touchscreen,Cloud-based,True,False,3,False,False,None,False,None
2023-03-24 10:19:14,abhishek.kumar@email.com,Abhishek Kumar,21,B.Tech,Male,Monthly,Console,PlayStation Store,10,Action,User interface,Epic Games,Free-to-play,Monthly,False,Console,7,Lightweight,Touchscreen,Download,True,True,2,True,True,"New game releases, innovative gameplay mechanics, and multiplayer experiences.",False,- Improved security to prevent fraud and cheating
2021-04-22 17:21:17,abhishek.kumar@gmail.com,Abhishek Kumar,23,B.Tech,Male,Weekly,Console,PlayStation Store,10,Strategy,Exclusive content,Steam,Free-to-play,Monthly,False,Console,5,Lightweight,Controller,Download,True,False,4,True,False,Kingdom Hearts 4,False,"Improved graphics, more diverse gameplay options, and better online multiplayer functionality."
2014-08-03 00:34:40,jaydeep.choudhary@gmail.com,Jaydeep Choudhary,27,Bachelor of Engineering,Male,Daily,Console,Steam,15,Sports,Price,Epic Games,Paid,Occasionally,False,Console,4,Lightweight,Controller,Disc,True,False,1,True,True,Battle Royale games,True,Add more cross-platform games.
2022-04-16 12:19:02,praveen123@gmail.com,Praveen,21,BSc. in CSIT,Male,Weekly,Mobile,PlayStation Store,7,Action,Price,Steam,Free-to-play,Monthly,True,Mobile,2,Lightweight,Controller,Download,False,False,3,True,False,None,False,"Adding more games, Improving performance, Adding more multiplayer options, Adding more customization options, Adding more achievements and rewards"
